Movie, Genre, Actor,Actor2,Actor3
Fargo, Comedy,Frances McDormand,Joel David Moore,Wes Studi
The Godfather, Drama, Robert De Niro,Orlando Bloom,Jack Davenport
The Godfather II, Drama, Robert De Niro,Rory Kinnear,Stephanie Sigman
Star Wars, Action, Harrison Ford,Christian Bale,Joseph Gordon-Levitt
Indiana Jones and the Raiders of the Lost Ark, Action, Harrison Ford,Rob Walker,
Avatar,Action,CCH Pounder,Samantha Morton,Polly Walker
Pirates of the Caribbean: At World's End,Action,Johnny Depp,James Franco,Kirsten Dunst
Spectre,Action,Christoph Waltz,Donna Murphy,M.C. Gainey
The Dark Knight Rises,Action,Tom Hardy,Robert Downey Jr.,Scarlett Johansson
Star Wars: Episode VII - The Force Awakens,Documentary,Doug Walker,Daniel Radcliffe,Rupert Grint
John Carter,Action,Daryl Sabara,Lauren Cohan,Alan D. Purwin
Spider-Man 3,Action,J.K. Simmons,Marlon Brando,Frank Langella
Tangled,Adventure,Brad Garrett,Mathieu Amalric,Rory Kinnear
Avengers: Age of Ultron,Action,Chris Hemsworth,Orlando Bloom,Jack Davenport
Harry Potter and the Half-Blood Prince,Adventure,Alan Rickman,Ruth Wilson,Tom Wilkinson
Batman v Superman: Dawn of Justice,Action,Henry Cavill,Christopher Meloni,Harry Lennix
Superman Returns,Action,Kevin Spacey,Pierfrancesco Favino,DamiÃ¡n AlcÃ¡zar
Quantum of Solace,Action,Giancarlo Giannini,Robert Downey Jr.,Scarlett Johansson
Pirates of the Caribbean: Dead Man's Chest,Action,Johnny Depp,Sam Claflin,Stephen Graham
The Lone Ranger,Action,Johnny Depp,Michael Stuhlbarg,Nicole Scherzinger
Man of Steel,Action,Henry Cavill,Adam Brown,James Nesbitt
The Chronicles of Narnia: Prince Caspian,Action,Peter Dinklage,Andrew Garfield,Chris Zylka
The Avengers,Action,Chris Hemsworth,William Hurt,Scott Grimes
Pirates of the Caribbean: On Stranger Tides,Action,Johnny Depp,Adam Brown,James Nesbitt
Men in Black 3,Action,Will Smith,Eva Green,Kristin Scott Thomas
The Hobbit: The Battle of the Five Armies,Adventure,Aidan Turner,Thomas Kretschmann,Evan Parke
The Amazing Spider-Man,Action,Emma Stone,Kate Winslet,Gloria Stuart
Robin Hood,Action,Mark Addy,Scarlett Johansson,Chris Evans
The Hobbit: The Desolation of Smaug,Adventure,Aidan Turner,Alexander SkarsgÃ¥rd,Tadanobu Asano
The Golden Compass,Adventure,Christopher Lee,Judy Greer,Omar Sy
King Kong,Action,Naomi Watts,Helen McCrory,Rory Kinnear
Titanic,Drama,Leonardo DiCaprio,James Franco,Kirsten Dunst
Captain America: Civil War,Action,Robert Downey Jr.,Jon Favreau,Don Cheadle
Battleship,Action,Liam Neeson,Alan Rickman,Anne Hathaway
Jurassic World,Action,Bryce Dallas Howard,Kelsey Grammer,Daniel Cudmore
Skyfall,Action,Albert Finney,Tyler Labine,Sean Hayes
Spider-Man 2,Action,J.K. Simmons,Kevin Dunn,Ramon Rodriguez
Iron Man 3,Action,Robert Downey Jr.,Sophia Myles,Kelsey Grammer
Alice in Wonderland,Adventure,Johnny Depp,Mila Kunis,James Franco
X-Men: The Last Stand,Action,Hugh Jackman,Andrew Garfield,B.J. Novak
Monsters University,Adventure,Steve Buscemi,Olivia Wilde,James Frain
Transformers: Revenge of the Fallen,Action,Glenn Morshower,Thomas Kretschmann,Eddie Izzard
Transformers: Age of Extinction,Action,Bingbing Li,Temuera Morrison,Taika Waititi
Oz the Great and Powerful,Adventure,Tim Holmes,John Ratzenberger,Don Rickles
The Amazing Spider-Man 2,Action,Emma Stone,Bryce Dallas Howard,Common
TRON: Legacy,Action,Jeff Bridges,Paul Walker,Vin Diesel
Cars 2,Adventure,Joe Mantegna,Brad Pitt,Mireille Enos
Green Lantern,Action,Ryan Reynolds,Peter Dinklage,Hugh Jackman
Toy Story 3,Adventure,Tom Hanks,Bruce Greenwood,Noel Clarke
Terminator Salvation,Action,Christian Bale,Ewen Bremner,Ralph Brown
Furious 7,Action,Jason Statham,Elizabeth Debicki,Steve Bisley
World War Z,Action,Peter Capaldi,Richard Coyle,Reece Ritchie
X-Men: Days of Future Past,Action,Jennifer Lawrence,Clifton Collins Jr.,Larry Joe Campbell
Star Trek Into Darkness,Action,Benedict Cumberbatch,Lester Speight,Kevin Dunn
Jack the Giant Slayer,Adventure,Eddie Marsan,Ray Winstone,Jim Broadbent
The Great Gatsby,Drama,Leonardo DiCaprio,Jack McGraw,Peter Sohn
Prince of Persia: The Sands of Time,Action,Jake Gyllenhaal,John Ratzenberger,Julie Walters
Pacific Rim,Action,Charlie Hunnam,Melissa Roxburgh,Lydia Wilson
Transformers: Dark of the Moon,Action,Glenn Morshower,Fred Willard,Jeff Garlin
Indiana Jones and the Kingdom of the Crystal Skull,Action,Harrison Ford,Dana Ivey,NoÃ©mie Lenoir
The Good Dinosaur,Adventure,A.J. Buckley,Liam James,Tom McCarthy
Brave,Adventure,Kelly Macdonald,Colin Firth,Gary Oldman
Star Trek Beyond,Action,Sofia Boutella,Mila Kunis,Eddie Redmayne
WALLÂ·E,Adventure,John Ratzenberger,Alexander SkarsgÃ¥rd,Casper Crump
Rush Hour 3,Action,Tzi Ma,Kiran Shah,Shane Rangi
2012,Action,Oliver Platt,Michael Fassbender,Tye Sheridan
A Christmas Carol,Animation,Robin Wright,Heath Ledger,Morgan Freeman
Jupiter Ascending,Action,Channing Tatum,Delroy Lindo,Jess Harnell
The Legend of Tarzan,Action,Christoph Waltz,Rainn Wilson,Stephen Colbert
"The Chronicles of Narnia: The Lion, the Witch and the WardrobeÂ ",Adventure,Jim Broadbent,Jeff Bridges,Jon Favreau
X-Men: Apocalypse,Action,Jennifer Lawrence,Christopher Lee,Ray Winstone
The Dark Knight,Action,Christian Bale,Salma Hayek,Bai Ling
Up,Adventure,John Ratzenberger,Brendan Fraser,Russell Wong
Monsters vs. Aliens,Action,Amy Poehler,Robin Atkin Downes,Ike Barinholtz
Iron Man,Action,Robert Downey Jr.,Morgan Freeman,Steve Carell
Hugo,Adventure,ChloÃ« Grace Moretz,Lara Pulver,Noah Taylor
Wild Wild West,Action,Will Smith,Rick Aviles,Zakes Mokae
The Mummy: Tomb of the Dragon Emperor,Action,Jet Li,Dennis Quaid,Leo Howard
Suicide Squad,Action,Will Smith,Mindy Kaling,Phyllis Smith
Evan Almighty,Comedy,Jimmy Bennett,Bill Murray,Garry Shandling
Edge of Tomorrow,Action,Tom Cruise,Scarlett Johansson,Jon Favreau
Waterworld,Action,Jeanne Tripplehorn,Kristen Stewart,Sam Claflin
G.I. Joe: The Rise of Cobra,Action,Joseph Gordon-Levitt,Sharlto Copley,Sam Riley
Inside Out,Adventure,Amy Poehler,Judy Greer,Kodi Smit-McPhee
The Jungle Book,Adventure,Scarlett Johansson,Alice Englert,Bipasha Basu
Iron Man 2,Action,Robert Downey Jr.,Cary-Hiroyuki Tagawa,Jin Akanishi
Snow White and the Huntsman,Action,Chris Hemsworth,Chris Evans,Hayley Atwell
Maleficent,Action,Angelina Jolie Pitt,Kathy Griffin,Mary Kay Place
Dawn of the Planet of the Apes,Action,Gary Oldman,Chris Bauer,Thomas Robinson
The Lovers,Action,Tamsin Egerton,Daniel Henney,Abraham Benrubi
47 Ronin,Action,Keanu Reeves,Sarah Silverman,Joe Lo Truglio
Captain America: The Winter Soldier,Action,Scarlett Johansson,Eddie Deezen,Peter Scolari
Shrek Forever After,Adventure,Jon Hamm,Sela Ward,Judd Hirsch
Tomorrowland,Action,Judy Greer,America Ferrera,Craig Ferguson
Big Hero 6,Action,Damon Wayans Jr.,M.C. Gainey,Carolyn Hennesy
Wreck-It Ralph,Adventure,Jack McBrayer,Vin Diesel,Djimon Hounsou
The Polar Express,Adventure,Tom Hanks,Anne Hathaway,Mackenzie Foy
Independence Day: Resurgence,Action,Vivica A. Fox,Tom Hardy,Joseph Gordon-Levitt
How to Train Your Dragon,Adventure,Gerard Butler,Shin'ya Tsukamoto,Atsuko Maeda
Terminator 3: Rise of the Machines,Action,Nick Stahl,Adam Brown,James Nesbitt
Guardians of the Galaxy,Action,Bradley Cooper,Vin Diesel,Jordana Brewster
Interstellar,Adventure,Matthew McConaughey,Jason Flemyng,Julia Ormond
Inception,Action,Leonardo DiCaprio,Michael Fassbender,Oliver Platt
Godzilla Resurgence,Action,Mark Chinnery,Philip Seymour Hoffman,Josh Hutcherson
The Hobbit: An Unexpected Journey,Adventure,Aidan Turner,Omar Benson Miller,Robert Capron
The Fast and the Furious,Action,Paul Walker,Mike Vogel,Andre Braugher
The Curious Case of Benjamin Button,Drama,Brad Pitt,Alan Rickman,Anne Hathaway
X-Men: First Class,Action,Jennifer Lawrence,Eric Idle,Rupert Everett
The Hunger Games: Mockingjay - Part 2,Adventure,Jennifer Lawrence,Callum Rennie,Ruth Negga
The Sorcerer's Apprentice,Action,Nicolas Cage,Emilia Clarke,Matt Smith
Poseidon,Action,Jimmy Bennett,Shane Rangi,Laura Brent
Alice Through the Looking Glass,Adventure,Johnny Depp,Jaime King,Mako
Shrek the Third,Adventure,Justin Timberlake,Michael O'Neill,Kevin Dunn
Warcraft,Action,Dominic Cooper,Angelina Jolie Pitt,Brian Blessed
Terminator Genisys,Action,J.K. Simmons,Daniel Radcliffe,Fiona Shaw
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,Bruce Spence,Daniel Radcliffe,Rupert Grint
Pearl Harbor,Action,Jennifer Garner,Charlize Theron,Eddie Marsan
Transformers,Action,Zack Ward,Alice Braga,Willow Smith
Alexander,Action,Anthony Hopkins,Christopher Lee,David Kelly
Harry Potter and the Order of the Phoenix,Adventure,Robert Pattinson,John Ratzenberger,Brian Dennehy
Harry Potter and the Goblet of Fire,Adventure,Robert Pattinson,Liam Neeson,Morgan Freeman
Hancock,Action,Will Smith,Jada Pinkett Smith,Cedric the Entertainer
I Am Legend,Drama,Will Smith,Rami Malek,Steve Coogan
Charlie and the Chocolate Factory,Adventure,Johnny Depp,Ryan Reynolds,Dominic Monaghan
Ratatouille,Animation,Janeane Garofalo,Collin Chou,Nona Gaye
Batman Begins,Action,Christian Bale,Maurice LaMarche,Livvy Stubenrauch
Madagascar: Escape 2 Africa,Action,Bernie Mac,Daniel Bernhardt,Helmut Bakaitis
Night at the Museum: Battle of the Smithsonian,Adventure,Robin Williams,Natalie Portman,Anthony Hopkins
X-Men Origins: Wolverine,Action,Hugh Jackman,Charlize Theron,ZoÃ« Kravitz
The Matrix Revolutions,Action,Essie Davis,Ayelet Zurer,Armin Mueller-Stahl
Frozen,Adventure,Josh Gad,Natalie Portman,Anthony Hopkins
The Matrix Reloaded,Action,Steve Bastoni,Diedrich Bader,James Lipton
